x,m
-0.6137556277313436,a
-4.654804272708889,a
-3.9007215223014855,a
-3.76713154201423,a
-0.8697119554294952,a
-3.0837967511151185,a
-3.034496709359909,a
-1.3476879164040634,a
-2.5489900736736555,a
-3.164246000849986,a
-2.278188078981431,a
-3.882940189427049,a
-2.838671573637673,a
-2.2912249258983843,a
-3.255556477630339,a
-2.5731535946172257,a
-3.2776481972409233,a
-2.6050859264902773,a
-2.5379452389353947,a
-4.712768963285332,a
-2.6131768825017128,a
-3.3444701772629832,a
-3.1575771530671437,a
-4.392920489791779,a
-2.6882415563315676,a
-3.676833772525507,a
-2.9925506417473597,a
-2.8106763820622658,a
-2.9862139391440325,a
-2.631657592846239,a
-1.6074228824229895,a
-3.027016380758309,a
-0.8106971158426779,a
-4.276232877080545,a
-3.2121337705693183,a
-2.340005624832364,a
-4.748184748378746,a
-2.5583997019376024,a
-2.635407928707253,a
-3.629290265672869,a
-3.417927584778775,a
-3.4256679332790836,a
-4.529342767732596,a
-3.8610349316899244,a
-3.2742132011068352,a
-4.391145374451462,a
-2.1002789245534337,a
-3.3159346548414055,a
-2.389081159160926,a
-3.029503735523447,a
-1.535014172128624,a
-3.6019916564405783,a
-3.305492543145282,a
-2.134021623340253,a
-2.9039185419481717,a
-2.1444926441460628,a
-2.838423384335753,a
-4.176616076771614,a
-4.144463985316098,a
-2.5108231899803055,a
-2.6682969124588234,a
-4.690827009397523,a
-3.0029829617347206,a
-2.3572665369337646,a
-3.726766772894697,a
-2.1090644122844164,a
-2.497107337752023,a
-3.350161723640988,a
-2.4468247866646573,a
-2.4337491522213868,a
-3.36251194798322,a
-3.5506365490406466,a
-0.6653056587823065,a
-3.684590797840131,a
-2.919060873192412,a
-3.0415791409657302,a
-3.035279238430454,a
-2.916410396898103,a
-3.234325688979153,a
-2.962883654531422,a
-3.7356210709112294,a
-3.133775274551666,a
-3.815362803968501,a
-4.026168052018465,a
-3.4067585747126046,a
-4.144985791999272,a
-2.6102385924894635,a
-4.897665517549396,a
-3.7476279211811088,a
-2.0761141992045067,a
-4.311866159568358,a
-2.466768810794023,a
-1.3746016442267217,a
-3.953811789571993,a
-3.4663408403356426,a
-3.7596095342976272,a
-1.1997946400349204,a
-2.4786595997689633,a
-3.4814916231659008,a
-2.558598226611056,a
-2.9315654163951126,a
-4.258896953187795,a
-2.3532610833769896,a
-3.340328264956583,a
-4.324903775377145,a
-1.3045056095056016,a
-2.731832979822754,a
-4.392647763407856,a
-4.646897324101873,a
-1.809073905938791,a
-3.581346780739202,a
-2.979720328385802,a
-4.008260380010189,a
-3.343321569048985,a
-4.3338045522482025,a
-3.6360456086662447,a
-4.2600594099312445,a
-4.4227773268183395,a
-2.942746757202078,a
-3.2182892244210617,a
-2.1891604574117327,a
-1.653538799480399,a
-3.5738989597180213,a
-2.7062120040724524,a
-1.4689651290113415,a
-3.758684223577508,a
-3.6748234696376874,a
-2.81604864465379,a
-5.5325450473555104,a
-2.832636599563476,a
-2.4063652478452604,a
-2.171760566974216,a
-1.3577223507953329,a
-1.367403736490183,a
-2.424204674892822,a
-2.136104903316387,a
-3.620804134608499,a
-1.810970509536226,a
-3.062421719842151,a
-1.7921823498345437,a
-1.3836781002766818,a
-3.642555045174441,a
-2.5981750755173985,a
-1.6654984216843265,a
-3.2369349320188396,a
-3.753307700584244,a
-2.259935710237444,a
-5.190013867969014,a
-2.874249020304851,a
-1.954015722716397,a
-4.810153488530594,a
-2.6695811861874517,a
-2.3817847410817405,a
-3.5556598532654715,a
-3.923785654421665,a
-2.971352652091711,a
-3.745109166464635,a
-2.608849834146099,a
-1.7903258396314243,a
-1.8881404039986003,a
-5.226846995138833,a
-3.279863106397604,a
-4.63203816807129,a
-3.7287779061526365,a
-3.1025973882689972,a
-4.361928366529115,a
-2.5764326754732276,a
-3.7756109230295296,a
-2.9218383525507297,a
-4.0406566868619445,a
-3.312695330693351,a
-3.1889340061222744,a
-3.921551101003811,a
-2.2198826402838123,a
-4.577844731611229,a
-2.8715078743115208,a
-4.231599972834799,a
-4.004874639312455,a
-2.6620075348674246,a
-3.9264664241420064,a
-1.2448643884170452,a
-0.5779048155874436,a
-2.962564245791408,a
-4.678484123746792,a
-3.263458635139904,a
-2.286055429576116,a
-1.689914029630974,a
-2.0683843643755617,a
-3.0966241934666767,a
-2.7531931851656464,a
-2.176304541440867,a
-3.2435892052441213,a
-1.9401250238808976,a
-1.5961319400240883,a
-2.9644084856229846,a
-3.040318429268812,a
-4.251165196998434,a
-3.964357363418346,a
-2.5900578078719017,a
-3.088582260478931,a
-2.434346784498199,a
-2.109594866544547,a
-2.0966388718543856,a
-2.967661150910843,a
-3.840106527997233,a
-4.830429238181372,a
-3.8982361559643213,a
-3.4655251976866532,a
-1.5169648389160184,a
-2.6431012780283187,a
-3.7463607001188794,a
-3.433097149051873,a
-3.7331262831489496,a
-3.0408928337157706,a
-4.032389461211442,a
-2.8139085142820077,a
-2.3707069784847006,a
-4.074038944584757,a
-3.2232904109129117,a
-3.7844660503991023,a
-2.447499904259326,a
-2.8052160837061364,a
-2.103285208522787,a
-2.6480567979772314,a
-3.2942536113837613,a
-3.782620840260093,a
-1.686563555332383,a
-1.2015898865933297,a
-3.0176480246278974,a
-4.225645441917354,a
-2.6596197334092944,a
-2.5815520216495442,a
-1.9707176879414652,a
-3.0488216817783433,a
-3.020691401376873,a
-2.478505339623638,a
-2.97151653356655,a
-2.1789255295279535,a
-4.643333191389752,a
-4.06153165510508,a
-1.9422498611997663,a
-0.85559922388396,a
-3.3505207851558767,a
-2.6246507243543684,a
-3.980455639674653,a
-3.043202212006563,a
-3.2492013068846406,a
-2.0823754189789545,a
-2.009780375744835,a
-2.5040718536230258,a
-2.5208123587800078,a
-3.2110223489949488,a
-3.109538920842487,a
-2.2927102064776226,a
-4.943854332424196,a
-2.5261544788398966,a
-3.495147914784132,a
-3.08437996973199,a
-3.0829924696506317,a
-1.5119001200500768,a
-1.96719491883328,a
-3.0349651567869533,a
-1.2984103792042743,a
-4.287726755392085,a
-2.42942389631981,a
-1.7421431272390038,a
-3.628469756086748,a
-3.4773703969498033,a
-4.279780398941001,a
-3.434504215249978,a
-3.7544822080641547,a
-1.8593865963146026,a
-2.843944471608478,a
-1.7760759512820543,a
-1.018280763528196,a
-2.1280073854724137,a
-3.9254809281678265,a
-2.7793619851618745,a
-1.2811408524559746,a
-3.3474203370428084,a
-3.5619237199730893,a
-4.653116518840045,a
-2.760570655017583,a
-2.533506478598738,a
-2.967566498974179,a
-3.87981931402639,a
-2.655484800595471,a
-2.431744627872874,a
-4.128473511364713,a
-3.1844003802001732,a
-1.4429741554017663,a
-2.9245945997535423,a
-2.916745245286303,a
-1.6744037305513628,a
-1.5189132849728981,a
-3.2801001626853803,a
-3.0828019288908375,a
-3.8628535711866006,a
-3.2906469799973586,a
-2.569764227986316,a
-2.9877709826613406,a
-3.9042527737569594,a
-2.6548746473387927,a
-2.734011616489578,a
-2.968543652756415,a
-1.566222026921848,a
-2.6928986981283636,a
-5.129008444070736,a
-4.627248661224652,a
-4.566810268873682,a
-1.3450260415840538,a
-2.4850740672885117,a
-3.2587406298732473,a
-2.74939354350811,a
-3.5584770588274734,a
-2.9165090611525106,a
-2.4529892525382615,a
-3.8890839570637867,a
-3.795828258143417,a
-2.4434146573548237,a
-3.9871318590406277,a
-4.457626235811855,a
-2.54446278226597,a
-2.386051290373486,a
-3.0154352617693054,a
-2.1081332194646683,a
-1.4476184098652318,a
-3.4973071244387044,a
-3.57814201794083,a
-3.519345535586454,a
-2.476536969380665,a
-2.1371806805679276,a
-3.4319704702129696,a
-2.5151753953744165,a
-3.4965523838275208,a
-2.589647520510745,a
-2.739644831467314,a
-4.5499536540959324,a
-1.3714977791729221,a
-1.9649386309695747,a
-2.916280513014031,a
-3.2460113864957556,a
-2.2975253209793007,a
-5.723995761601946,a
-3.1350843277714064,a
-2.071932636704208,a
-1.8274227467824231,a
-4.173002754233118,a
-4.788581275947903,a
-2.685773280055116,a
-2.3688338505936155,a
-3.7044422281406293,a
-2.892902411544057,a
-1.1884301679533904,a
-3.5981898160899024,a
-3.98245443129669,a
-2.4667242546095323,a
-2.229458954572164,a
-2.1764315513782924,a
-1.6427374911638135,a
-2.4361072879053545,a
-1.7905194465931584,a
-2.0308798327377997,a
-2.3039857550223948,a
-2.8444512700094937,a
-2.608352180232994,a
-0.9449857994117985,a
-1.315298059443225,a
-2.0889094789753417,a
-2.7276731217973973,a
-2.3978265957552245,a
-4.012398224516018,a
-3.894028241199143,a
-3.403123414291935,a
-2.5183061137641847,a
-4.295541748316683,a
-2.8943970866773108,a
-3.4594445954719015,a
-2.2445451280011897,a
-1.7889378157138687,a
-2.8303551310555135,a
-2.763303607001953,a
-3.5614994304046,a
-2.9792850797195,a
-2.16431075002259,a
-2.474255150070303,a
-3.6048497351761464,a
-2.370887808678221,a
-1.811074762667823,a
-3.494235944583337,a
-1.880582497659262,a
-1.779209706906066,a
-2.740407121428685,a
-2.676973280221335,a
-2.047598141673407,a
-4.606797758130369,a
-2.5821984556263273,a
-2.7369838705100653,a
-1.969974015291905,a
-1.0537040418357746,a
-1.948388597477108,a
-2.2895371144307286,a
-3.312920154476492,a
-3.361756375652605,a
-4.633947195511874,a
-3.1981232930870904,a
-2.5788474649216404,a
-3.8384057529495905,a
-2.8590481015078457,a
-4.726570730159788,a
-4.103608304074337,a
-1.318585178416631,a
-4.384895179085712,a
-2.823408096232593,a
-1.62109021749147,a
-2.8015639264312764,a
-3.262647437750288,a
-1.1531894295068303,a
-2.0628942636129466,a
-2.071085249958635,a
-3.5034207265846877,a
-4.053614851021566,a
-3.2176866755939857,a
-1.3392285411004616,a
-3.490136214815311,a
-1.614306110260597,a
-3.1930286290122,a
-2.4719775713215695,a
-3.4848000813522604,a
-3.1379914968298204,a
-3.5104043062211563,a
-4.771289146308094,a
-3.0337367654173324,a
-1.461027318865352,a
-2.290118653514423,a
-4.275007195109425,a
-2.014343028660565,a
-3.3268317299766417,a
-1.7559504709714544,a
-2.2268883476112555,a
-4.007598478871252,a
-1.875940635977003,a
-2.8564924931887723,a
-4.983604499173166,a
-2.5494254247779047,a
-2.8657017711477257,a
-2.5091994693510884,a
-2.8567461953442037,a
-4.323524456442199,a
-3.378876261408588,a
-1.493258445267702,a
-5.097569138352674,a
-3.30508630980158,a
-2.7397870628488112,a
-3.5308878614402968,a
-2.5250900311895506,a
-4.1766333924491725,a
-2.249237678386268,a
-5.1587775143484045,a
-3.675428298599417,a
-2.383057679221505,a
-1.8955501089236282,a
-4.759515670344521,a
-1.7932386468033827,a
-2.1109263067320843,a
-2.0224148235000223,a
-3.7124041146595848,a
-1.6675763000136308,a
-3.099026635854807,a
-4.358923676736659,a
-4.830013572882461,a
-1.6022681263101604,a
-1.6533859225139957,a
-1.4782338341066124,a
-3.354447078075136,a
-2.310322292894001,a
-2.478066124693664,a
-3.3403758174892224,a
-4.839250250392013,a
-3.1512338801168496,a
-4.560124773059887,a
-2.573143242609025,a
-1.9579904268669632,a
-2.4821536582649424,a
-1.9136690617702976,a
-1.6554602844762503,a
-4.220446167092944,a
-2.7915134963652735,a
-2.589951368054741,a
-3.5567021840710416,a
-3.1257445446820915,a
-3.4859018302446856,a
-1.6026380594796374,a
-2.4451291911891193,a
-2.3798638044727594,a
-2.0213455232399355,a
-4.903277484890851,a
-4.842352635652898,a
-3.9422778466256343,a
-4.797703168500092,a
-1.2618916730356873,a
-3.0629863624718063,a
-4.039717596947266,a
-1.8725739763084563,a
-4.015517852916453,a
-1.6603679628480987,a
-2.404017009610285,a
-2.1040651189933324,a
-1.4381572425225448,a
-2.9470071875801436,a
-2.248270781071386,a
-3.1447629350180275,a
-3.3683830620816537,a
-2.906828544121312,a
-3.6089973983799393,a
-3.1400168071327523,a
-4.970718414749211,a
-3.063908057070657,a
-3.612615439660991,a
-2.9742029920362705,a
-2.5358962317723854,a
-2.7663605339875392,a
-3.7398827114867337,a
-3.975905195213767,a
-4.207879161738829,a
-1.7399093294279033,a
-4.021081565784455,a
-3.5457194569279062,a
-3.2661669634532005,a
-4.242447653555352,a
-3.4560269857507606,a
-2.9999764334950596,a
-4.381473462401655,a
-4.2517231319478315,a
-1.9833523397194905,a
-3.947968891526151,a
-4.340549130552374,a
-3.519191477376181,a
-2.905167721017026,a
-4.400790280728082,a
-4.207420121494792,a
-3.369578252621478,a
-3.0885847058172455,a
-2.7156420773140324,a
-3.7746323504446035,a
-2.909423695179551,a
-3.8885995474974693,a
-4.072353697143474,a
-2.9840305866296566,a
-1.2554824550527401,a
-4.170989140952617,a
-3.099235190182222,a
-3.376742138690394,a
-3.799744808054372,a
-1.2808647968769273,a
-4.040856100160287,a
-2.362985171206648,a
-2.023356931089131,a
-4.149938270424225,a
-2.5039010375060227,a
-3.0798509873637707,a
-2.9576967395014546,a
-3.419153932035535,a
-4.093214267441937,a
-2.110907948185658,a
-1.0604828311183088,a
-5.456991802238611,a
-3.021343744139586,a
-4.3918587737440635,a
-2.7441011740381778,a
-1.732041299999596,a
-2.2195727425285905,a
-4.149077402869355,a
-3.313150316953652,a
-4.188906198883371,a
-2.592446901719689,a
-2.578203190944807,a
-4.412132551332502,a
-0.42529066120906434,a
-3.6330537006702626,a
-2.8275273091838655,a
-4.04109134164647,a
-3.1353305567819216,a
-2.5918405583587174,a
-4.7914271649086615,a
-4.8486087789689964,a
-2.21939291234522,a
-3.035198286537073,a
-2.6153363557027207,a
-2.2421716202158692,a
-2.497411641312901,a
-1.9597113935224277,a
-1.913886936465301,a
-1.46643751982175,a
-2.6372549815102424,a
-2.4197034974569105,a
-1.2324721685782438,a
-1.4945554269927557,a
-3.6548443467901857,a
-3.2796394582395223,a
-3.822317338021941,a
-2.314886286558731,a
-1.510063323504748,a
-2.637734985215997,a
-3.1981836992985944,a
-2.949605178037256,a
-3.7420567629594945,a
-5.44202567888112,a
-3.97180700258176,a
-1.120917591034233,a
-2.672926963399453,a
-4.794322192845014,a
-4.788868266222932,a
-3.7760312214204532,a
-3.525237138582076,a
-3.4045360940566356,a
-1.0770568671066572,a
-2.158979494053961,a
-3.0769201981678256,a
-4.795165746054641,a
-3.2792244628368374,a
-3.4839546203744307,a
-3.552986972387041,a
-2.728364639340504,a
-1.210049146869321,a
-2.10228025847803,a
-2.5012080659853764,a
-1.9787615856043346,a
-1.0765836849909183,a
-1.8836067693182226,a
-2.6622934134190537,a
-3.35855775802753,a
-3.1576609669405067,a
-5.522758747786467,a
-3.461828340540766,a
-3.1374540464602996,a
-4.263408080101202,a
-3.0019472779454417,a
-3.4089664336146055,a
-3.59401632359574,a
-2.88379187418414,a
-4.133870435983236,a
-3.779238999309449,a
-2.877754614806606,a
-2.9993168985095116,a
-3.5423914567013552,a
-3.302275952334511,a
-5.0177242874987495,a
-1.0770425087823532,a
-2.5606844200273113,a
-3.5968257695504615,a
-3.8414612609907155,a
-2.169933675176095,a
-1.3558662873975031,a
-1.2229998492282832,a
-1.9916285765960975,a
-2.0148660910066774,a
-3.9826942904445843,a
-3.5950668944239363,a
-4.093981942715216,a
-0.8648240383102546,a
-2.7676484464317683,a
-3.55459816634902,a
-4.636960211288283,a
-4.055820317459403,a
-3.951257251112027,a
-1.6844148951363076,a
-0.04703921740476824,a
-4.365598430584283,a
-3.429621341843042,a
-3.785387370586706,a
-2.297251007996826,a
-3.965044451245507,a
-2.243976312373886,a
-3.872109390807026,a
-4.591098149868246,a
-2.6319084066976544,a
-2.352988723948767,a
-3.581144499730264,a
-3.2094371568848237,a
-3.4897748437839176,a
-2.8521038721570644,a
-2.955007905534879,a
-1.5957801035627106,a
-2.4591921391250793,a
-1.8685844183878435,a
-2.533359964076852,a
-2.8393947824788226,a
-3.0010323986027,a
-1.9760071356786304,a
-3.3934856714830905,a
-4.587257732432117,a
-6.904422729947856,a
-3.4891466567399103,a
-3.982101630461327,a
-1.1792670903960458,a
-2.854900369274789,a
-4.836497737272757,a
-3.2082022924689038,a
-2.3856932500701116,a
-3.525088115056885,a
-5.161434643958561,a
-3.516330045135913,a
-3.7805917054160765,a
-2.2476038613385008,a
-3.0761045639411067,a
-2.2957208755271905,a
-2.0920401479086075,a
-2.5660044463297673,a
-1.4860921261998596,a
-3.0008529506655974,a
-2.4790256842309963,a
-4.293578667038694,a
-3.1497026831791874,a
-2.4047188734326825,a
-4.369505903940306,a
-3.4161225277402245,a
-2.6825420845325705,a
-2.8904873106676425,a
-1.0692916371754164,a
-2.424035688337652,a
-3.4802546002370907,a
-2.6912326576712493,a
-2.638220900019202,a
-3.4544852490206446,a
-3.3935729591733397,a
-3.0889345941117337,a
-2.16714786945884,a
-4.511341985893757,a
-1.8336484087182978,a
-2.329884758637992,a
-2.96156006611231,a
-3.2121927636573444,a
-3.8849615073919637,a
-2.8475515195556036,a
-4.026187205939398,a
-3.0073648231906462,a
-3.6941972664449176,a
-3.5831661068585965,a
-3.0852126378083278,a
-2.9219293245863436,a
-2.970974682430587,a
-2.2359448049211497,a
-3.3520364033953705,a
-3.2045411835934274,a
-2.8849320273098544,a
-3.072568735926536,a
-2.429409536116477,a
-2.440099782040855,a
-2.2332452742400806,a
-2.174528666224817,a
-1.7595320908075378,a
-2.041541734034177,a
-2.939496344659846,a
-3.0993813502060403,a
-4.114087671408109,a
-3.5420049816515866,a
-3.844251174392413,a
-3.966206819416928,a
-4.763826692166078,a
-3.4757116446809944,a
-4.57273856328311,a
-3.768932373311618,a
-1.9473386028069632,a
-1.9354273826003576,a
-3.3449724077267824,a
-2.7856872185054558,a
-2.958414723786441,a
-1.0453683768486461,a
-2.7028487107163612,a
-4.599832662721012,a
-4.354486299645598,a
-3.573458723891055,a
-4.198028983958903,a
-2.639110745258078,a
-3.087020946958299,a
-2.2241332097121096,a
-2.9108039741051,a
-3.282310028068875,a
-4.393519858668822,a
-3.727466118283584,a
-3.042494446030149,a
-2.8395969652966864,a
-3.262790581732939,a
-3.0708841866033487,a
-2.7376727203207465,a
-2.880743594176249,a
-3.1576868935944784,a
-1.5947723588625196,a
-3.183276224213392,a
-1.9657095077549631,a
-3.299342539785295,a
-2.8638778663323112,a
-4.462855983344574,a
-2.8145566501969785,a
-3.508228747380047,a
-3.077643091093645,a
-1.839813447939363,a
-3.572845147940593,a
-1.6788621172742764,a
-3.355952065742666,a
-2.9484136790788362,a
-2.931645145401403,a
-2.6976746217015464,a
-1.739921092564933,a
-3.5907471076777098,a
-3.0286527926415023,a
-4.3455344725187555,a
-2.8068103003674096,a
-2.861815713130505,a
-3.975043620295919,a
-1.73018636925537,a
-4.253444943947084,a
-5.0950406616637345,a
-3.3281172972251256,a
-3.0624571126332936,a
-2.387806360070972,a
-1.7471790972517451,a
-3.5287258015719667,a
-3.2297447300137505,a
-2.40766037238067,a
-3.834393080904587,a
-2.5317362039535865,a
-2.5232404640766024,a
-3.258567187569858,a
-1.2220676046193208,a
-1.4356770605040117,a
-3.0360266998970005,a
-3.547497689155692,a
-4.818753445096972,a
-2.0150573488883836,a
-2.591418315786763,a
-2.4258850493818116,a
-3.992534597777686,a
-3.1954457362136246,a
-2.9542428333566364,a
-3.287613376713238,a
-3.2751011836765564,a
-2.1261434886016173,a
-2.311280233146935,a
-2.552610846269814,a
-3.0810799049159283,a
-5.064295086186048,a
-1.7071734523725803,a
-2.3448972160763026,a
-3.7117929631527957,a
-3.344762529612674,a
-3.863346496925109,a
-2.0828217655252175,a
-0.19604815738452652,a
-4.309921822128659,a
-3.230947144108306,a
-3.41187437501113,a
-2.9696600471652084,a
-3.60528379196424,a
-2.5368842609580127,a
-3.640725576967131,a
-2.28122939643315,a
-2.1036284406235755,a
-4.517875564241358,a
-3.7870007098641416,a
-4.344983705996382,a
-0.6448633234602297,a
-3.0279020048464482,a
-3.576722501963315,a
-2.96942363901028,a
-3.448922727391336,a
-3.3992479460025695,a
-2.6377371148124444,a
-4.523531299600886,a
-1.4571682090634266,a
-1.923924218291949,a
-0.4704575457461968,a
-2.5419208936636775,a
-4.3350332801452,a
-2.9530236403843015,a
-2.485730781173438,a
-4.635748999085074,a
-1.6024337304291765,a
-3.242103246921266,a
-1.9351098623953715,a
-1.7455393028909183,a
-1.7466866267200813,a
-3.1758703789427467,a
-2.9253371925672225,a
-1.826687779292505,a
